Country,ISO2,ISO3,Indicator,Unit,Source,Copyright and Usage,Sector,Scenario,Type of Emissions,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
United States,US,USA,Carbon Cost to Assets in Disclosing Firms,,"Urgentem, Orbis (Bureau Van Dijk), Network for Greening the Financial Sector ([NGFS](www.ngfs.net/en)); and IMF staff calculations. ",The indicators are created from ICE Data Services and per license agreement they should not be used for commercial purposes; https://www.imf.org/external/terms.htm,"Not applicable, Not applicable",Disorderly,Scope 1,0.0233810168384366,0.0171955442913994,0.0621457236959845,0.106366325755185,0.149850633132959,0.192612703941462,0.234672570731407,0.234276472647551,0.233892134317294,0.233522824782872,0.233170962540174,0.232838782181955,0.36594560602305,0.480221148680339,0.575754556064464,0.652635050452361,0.710952939152418,0.750816234170221,0.772373993542309,0.775749647660287,0.760975634734252,0.728824023803495,0.730488849879181,0.731042030943638,0.735890523737872,0.735854067786603,0.730151798724658,0.729156818832371,0.730140819918509,0.727057600404827,0.719552531797958,0.710498544197501
United States,US,USA,Carbon Cost to Assets in Disclosing Firms,,"Urgentem, Orbis (Bureau Van Dijk), Network for Greening the Financial Sector ([NGFS](www.ngfs.net/en)); and IMF staff calculations. ",The indicators are created from ICE Data Services and per license agreement they should not be used for commercial purposes; https://www.imf.org/external/terms.htm,"Not applicable, Not applicable",Disorderly,Scope 2,0.00371119495829984,0.00263277578166358,0.0092899230199103,0.0155411704241092,0.021399020459393,0.026870529961895,0.0319612964864708,0.0311260692411298,0.0302879406479973,0.0294466217222992,0.0286020577543364,0.0277543901534236,0.0436960167535798,0.0574791255976491,0.0691243581529489,0.0786464465354329,0.0860601707139916,0.0914013130084814,0.0946874619847831,0.096262527999896,0.0959396182544161,0.0938361541131146,0.0964242409919023,0.0987192250618567,0.100519825599732,0.101624845907989,0.102083127259311,0.101912128934259,0.101087800948411,0.0995908257145907,0.0974347570489378,0.0947889007233423
United States,US,USA,Carbon Cost to Assets in Disclosing Firms,,"Urgentem, Orbis (Bureau Van Dijk), Network for Greening the Financial Sector ([NGFS](www.ngfs.net/en)); and IMF staff calculations. ",The indicators are created from ICE Data Services and per license agreement they should not be used for commercial purposes; https://www.imf.org/external/terms.htm,"Not applicable, Not applicable",HHW,Scope 1,0.0233810168384366,0.0169673449825337,0.014428296416065,0.0119170235174601,0.00942585677178783,0.00695058519846991,0.00448797510543337,0.00484668193809201,0.00520620932850553,0.00556693279234639,0.0059292341346296,0.00629351510824196,0.00667895479846761,0.00706423683320743,0.00744975930927682,0.00783591459691143,0.00822308924833187,0.00865794884889783,0.00909446839432161,0.00953306299657416,0.00997414106301135,0.0104187111228028,0.0107757230098453,0.0111245729544851,0.011465591961352,0.0117990659302999,0.0121252356578426,0.0124953899949002,0.0128574021467436,0.0132114217294468,0.0135575482595613,0.0138992136335157
United States,US,USA,Carbon Cost to Assets in Disclosing Firms,,"Urgentem, Orbis (Bureau Van Dijk), Network for Greening the Financial Sector ([NGFS](www.ngfs.net/en)); and IMF staff calculations. ",The indicators are created from ICE Data Services and per license agreement they should not be used for commercial purposes; https://www.imf.org/external/terms.htm,"Not applicable, Not applicable",HHW,Scope 2,0.00371119495829984,0.0025991440087774,0.0021699441609862,0.00176311474250601,0.00137272852537499,0.000996582241666155,0.000633528790327566,0.000673508915235154,0.000712105428964741,0.000749368905541818,0.000785355874329156,0.000820129229998384,0.000858901801624853,0.000896336640938794,0.000932478756347926,0.000967369751087688,0.00100104772490962,0.00103911363686897,0.00107597208403482,0.00111157198649315,0.00114598611286965,0.00117952004821476,0.00121870563071059,0.00125722681965804,0.0012950521461243,0.00133216270433951,0.00136854403970682,0.00140975157756176,0.00144974598304107,0.00148840926758041,0.00152554399559665,0.0015616931119967
United States,US,USA,Carbon Cost to Assets in Disclosing Firms,,"Urgentem, Orbis (Bureau Van Dijk), Network for Greening the Financial Sector ([NGFS](www.ngfs.net/en)); and IMF staff calculations. ",The indicators are created from ICE Data Services and per license agreement they should not be used for commercial purposes; https://www.imf.org/external/terms.htm,"Not applicable, Not applicable",Orderly,Scope 1,0.0233806083596945,0.0171460471050064,0.0608771630355816,0.100000448391443,0.13451007714238,0.164420538318713,0.189752182953421,0.210522729535017,0.226761377823944,0.238492331249615,0.245741622345605,0.24853708980898,0.25642873055052,0.261593352377648,0.264052203532242,0.263846880555179,0.261433477905128,0.258523115042454,0.258990221895346,0.259123161031472,0.259883576353595,0.26201236804943,0.271648700127967,0.280845190998134,0.289585005062322,0.297873299840956,0.305753365886685,0.316793730288218,0.327354901652044,0.337345565717224,0.346719566705393,0.355501551201017
United States,US,USA,Carbon Cost to Assets in Disclosing Firms,,"Urgentem, Orbis (Bureau Van Dijk), Network for Greening the Financial Sector ([NGFS](www.ngfs.net/en)); and IMF staff calculations. ",The indicators are created from ICE Data Services and per license agreement they should not be used for commercial purposes; https://www.imf.org/external/terms.htm,"Not applicable, Not applicable",Orderly,Scope 2,0.00371113012175921,0.00262760673147202,0.00934325037284564,0.0154063837729151,0.020830304026838,0.0256224593926459,0.029788728220917,0.0333337157953976,0.0362635219947146,0.0385844473565836,0.0403092895810651,0.0414505853372177,0.0432591074190097,0.0447125829535196,0.0458142308639689,0.0466157995012447,0.0470788596826067,0.0472124581224885,0.0470889598972401,0.0467073376069324,0.0461966206310502,0.0454555525514111,0.0461103577037716,0.0466713622694678,0.0471660019614993,0.0475152782527442,0.047713261114233,0.048301035260984,0.0487180172254944,0.0489497916198132,0.0489976739236767,0.0488560135036142
United States,US,USA,Carbon Cost to Revenues in Disclosing Firms,,"Urgentem, Orbis (Bureau Van Dijk), Network for Greening the Financial Sector ([NGFS](www.ngfs.net/en)); and IMF staff calculations. ",The indicators are created from ICE Data Services and per license agreement they should not be used for commercial purposes; https://www.imf.org/external/terms.htm,"Not applicable, Not applicable",Disorderly,Scope 1,0.0716717629442229,0.0527109228253937,0.190500422095141,0.32605348764136,0.459349528258811,0.590431637440339,0.719361222618984,0.718147030432006,0.716968886389473,0.715836811356679,0.714758218948918,0.713739959048013,1.12176330510344,1.47206156887234,1.76490801668092,2.00057614894734,2.1793427921263,2.30153904434382,2.36762182551631,2.37796949702253,2.33268149438832,2.23412450463773,2.23922783357609,2.24092354520365,2.25578603080837,2.2556742793685,2.23819464282079,2.23514464873939,2.2381609885791,2.22870974103,2.20570383406759,2.17794989772325
United States,US,USA,Carbon Cost to Revenues in Disclosing Firms,,"Urgentem, Orbis (Bureau Van Dijk), Network for Greening the Financial Sector ([NGFS](www.ngfs.net/en)); and IMF staff calculations. ",The indicators are created from ICE Data Services and per license agreement they should not be used for commercial purposes; https://www.imf.org/external/terms.htm,"Not applicable, Not applicable",Disorderly,Scope 2,0.0113762325705953,0.00807046515609542,0.0284771686814973,0.0476396339051183,0.0655961856664375,0.0823684558683784,0.0979736031583786,0.0954133120664092,0.0928441272333093,0.0902651628101712,0.0876762510908334,0.0850778255489534,0.13394501086116,0.176195513332147,0.211892606957336,0.24108145130911,0.263807352647413,0.28017999747408,0.290253301473489,0.295081481481088,0.294091639555464,0.287643717108858,0.295577193678217,0.302612197987873,0.308131727604555,0.311519037665925,0.312923845361019,0.312399670065235,0.309872789374023,0.305283987491145,0.298674812049207,0.29056425002092
United States,US,USA,Carbon Cost to Revenues in Disclosing Firms,,"Urgentem, Orbis (Bureau Van Dijk), Network for Greening the Financial Sector ([NGFS](www.ngfs.net/en)); and IMF staff calculations. ",The indicators are created from ICE Data Services and per license agreement they should not be used for commercial purposes; https://www.imf.org/external/terms.htm,"Not applicable, Not applicable",HHW,Scope 1,0.0716717629442229,0.0520114046272728,0.0442282492488183,0.0365302369202367,0.0288938576436587,0.0213062031523548,0.0137573609428058,0.0148569346377582,0.0159590236562012,0.0170647790973555,0.018175371339683,0.0192920319095054,0.0204735520417579,0.0216545888996222,0.0228363628021623,0.024020076514284,0.0252069149664509,0.026539926033555,0.0278780254667969,0.0292224857432031,0.0305745587875889,0.0319373361277556,0.0330317141658533,0.0341010727274632,0.0351464264684288,0.0361686517811969,0.0371684867992183,0.0383031514753397,0.0394128572383155,0.0404980627186607,0.0415590729726839,0.0426064080760939
United States,US,USA,Carbon Cost to Revenues in Disclosing Firms,,"Urgentem, Orbis (Bureau Van Dijk), Network for Greening the Financial Sector ([NGFS](www.ngfs.net/en)); and IMF staff calculations. ",The indicators are created from ICE Data Services and per license agreement they should not be used for commercial purposes; https://www.imf.org/external/terms.htm,"Not applicable, Not applicable",HHW,Scope 2,0.0113762325705953,0.00796737090359356,0.00665170914434888,0.00540462131059329,0.00420793818067442,0.00305490589535433,0.00194200815099082,0.00206456253152343,0.002182875614381,0.00229710242830294,0.00240741625741611,0.00251400989795457,0.00263286266563155,0.00274761477191091,0.00285840418478399,0.00296535843408616,0.00306859431013408,0.00318528089554048,0.00329826613933963,0.00340739346205028,0.00351288592735376,0.00361568027035643,0.00373579907437935,0.00385388125795797,0.00396983035677223,0.00408358841740352,0.00419511113098173,0.00432142800184593,0.00444402615779508,0.00456254391873321,0.00467637606905282,0.00478718694264187
United States,US,USA,Carbon Cost to Revenues in Disclosing Firms,,"Urgentem, Orbis (Bureau Van Dijk), Network for Greening the Financial Sector ([NGFS](www.ngfs.net/en)); and IMF staff calculations. ",The indicators are created from ICE Data Services and per license agreement they should not be used for commercial purposes; https://www.imf.org/external/terms.htm,"Not applicable, Not applicable",Orderly,Scope 1,0.0716705108005812,0.0525591950098723,0.186611798278605,0.306539637730604,0.412324854354042,0.504011862570827,0.581663046084003,0.645332718840529,0.695110389278938,0.731070250171396,0.753292101194203,0.761861278605851,0.786052177076051,0.801883719127803,0.809421038752736,0.808791645264814,0.801393642696379,0.792472266923176,0.793904128157504,0.79431163747655,0.796642601398391,0.803168162490785,0.832707207484299,0.860897970876668,0.887688845119368,0.913095639985943,0.937251057584629,0.971093998876374,1.00346803015276,1.03409323826423,1.0628281380894,1.08974828084023
United States,US,USA,Carbon Cost to Revenues in Disclosing Firms,,"Urgentem, Orbis (Bureau Van Dijk), Network for Greening the Financial Sector ([NGFS](www.ngfs.net/en)); and IMF staff calculations. ",The indicators are created from ICE Data Services and per license agreement they should not be used for commercial purposes; https://www.imf.org/external/terms.htm,"Not applicable, Not applicable",Orderly,Scope 2,0.0113760338217897,0.00805462003941227,0.0286406374230168,0.0472264612454693,0.0638528521913271,0.0785426420214018,0.0913138501294627,0.102180593472323,0.111161570511985,0.118276094807338,0.123563396205881,0.127061904395215,0.132605716575038,0.137061175235133,0.140438147606835,0.142895262186211,0.144314718823911,0.144724249161239,0.144345679846432,0.143175861505588,0.141610318557651,0.139338661336905,0.141345889678552,0.14306558333093,0.144581843252176,0.145652508729264,0.146259401954383,0.148061154615603,0.149339363887634,0.150049841090612,0.150196618673275,0.149762375281918
