Country,ISO2,ISO3,Indicator,Unit,Source,CTS Code,CTS Name,CTS Full Descriptor,Trade Flow,Scale,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
United States,US,USA,Comparative advantage in low carbon technology products,Index,Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. [https://comtrade.un.org](https://comtrade.un.org). Access Date: 15-03-2022; International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). [https://data.imf.org/dot](https://data.imf.org/dot). Access Date: 21-03-2022. World Economic Outlook (WEO) Database. [https://www.imf.org/en/Publications/WEO/weo-database/2021/October](https://www.imf.org/en/Publications/WEO/weo-database/2021/October). Access Date: 21-03-2022; IMF staff calculations.,ECBTLA,Trade in Low Carbon Technology Products; Comparative Advantage,"Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Comparative Advantage",Not Applicable,Units,,,,,1.49913483932085,1.53438930121204,1.68728362518018,1.63631122435357,1.59087381277757,1.52725052673557,1.48791786886107,1.44434075290502,1.46331698941947,1.3572639783968,1.301038555952,1.26425383448609,1.20923380559173,1.22306858973987,1.24790254192419,1.25885211155496,1.252323258206,1.21417562524743,1.17646696263901,1.15265053932308,1.14254151079201,1.15698186837865,1.10307612546223,1.0062172453432,1.3198216285053
United States,US,USA,Exports of low carbon technology products,US Dollars,Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. [https://comtrade.un.org](https://comtrade.un.org). Access Date: 15-03-2022; International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). [https://data.imf.org/dot](https://data.imf.org/dot). Access Date: 21-03-2022. World Economic Outlook (WEO) Database. [https://www.imf.org/en/Publications/WEO/weo-database/2021/October](https://www.imf.org/en/Publications/WEO/weo-database/2021/October). Access Date: 21-03-2022; IMF staff calculations.,ECBTLX,Trade in Low Carbon Technology Products; Exports,"Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Exports",Exports,Units,24178127246.0,29233801825.0,32008620825.0,38063506535.0,35295184293.0,37263685145.0,46707781080.0,43306568632.0,39017459559.0,39795594403.0,46037072365.0,49374289119.0,58538431935.0,61612175769.0,66627586615.0,58342137323.0,66824287730.0,73261832819.0,77352933279.0,78534086027.0,82238731390.0,79504998482.0,74953962352.0,81938699742.0,85743054898.0,90403490416.0,83302693472.0,91374072814.0,93269441842.0
United States,US,USA,Exports of low carbon technology products as percent of GDP,Percent,Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. [https://comtrade.un.org](https://comtrade.un.org). Access Date: 15-03-2022; International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). [https://data.imf.org/dot](https://data.imf.org/dot). Access Date: 21-03-2022. World Economic Outlook (WEO) Database. [https://www.imf.org/en/Publications/WEO/weo-database/2021/October](https://www.imf.org/en/Publications/WEO/weo-database/2021/October). Access Date: 21-03-2022; IMF staff calculations.,ECBTLX,Trade in Low Carbon Technology Products; Exports,"Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Exports",Exports,Units,0.331786713039898,0.382653906541444,0.396483651931563,0.443757326217859,0.38945013605581,0.386906946919768,0.455643438705681,0.409250383384876,0.357005238848579,0.347364099725482,0.376822566305222,0.37866041719584,0.423712556349344,0.425667483765998,0.45110537083992,0.40296958031641,0.444045443161411,0.469635412284511,0.475902370063892,0.466265136439132,0.468578737797834,0.4366960854003,0.400928384186231,0.420687104467497,0.417585066523158,0.422822608050624,0.395540899990266,0.391909838651602,0.366297958454957
United States,US,USA,Exports of low carbon technology products as share of total exports,Percent,Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. [https://comtrade.un.org](https://comtrade.un.org). Access Date: 15-03-2022; International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). [https://data.imf.org/dot](https://data.imf.org/dot). Access Date: 21-03-2022. World Economic Outlook (WEO) Database. [https://www.imf.org/en/Publications/WEO/weo-database/2021/October](https://www.imf.org/en/Publications/WEO/weo-database/2021/October). Access Date: 21-03-2022; IMF staff calculations.,ECBTLX,Trade in Low Carbon Technology Products; Exports,"Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Exports",Exports,Units,,,,,5.18648536271117,5.3943384076984,6.04908044428857,5.92408048851888,5.62815570249207,5.4982078974059,5.63802420059024,5.45989560407662,5.64505409377675,5.29908368644259,5.12472040034108,5.52005106598178,5.23371049319035,4.94873755733813,5.0085812974227,4.98025172841746,5.07931818871912,5.28856782784939,5.1605986346773,5.30139973299962,5.15209155111106,5.50865325711109,5.81891604404081,5.2085762790882,4.51633668201629
United States,US,USA,Imports of low carbon technology products,US Dollars,Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. [https://comtrade.un.org](https://comtrade.un.org). Access Date: 15-03-2022; International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). [https://data.imf.org/dot](https://data.imf.org/dot). Access Date: 21-03-2022. World Economic Outlook (WEO) Database. [https://www.imf.org/en/Publications/WEO/weo-database/2021/October](https://www.imf.org/en/Publications/WEO/weo-database/2021/October). Access Date: 21-03-2022; IMF staff calculations.,ECBTLM,Trade in Low Carbon Technology Products; Imports,"Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Imports",Imports,Units,16333584572.0,19465603398.0,21467092356.0,23543958654.0,25518544046.0,29658362701.0,37076259101.0,36922274776.0,34697402531.0,35366904920.0,40502810921.0,45170197430.0,51854721618.0,59889500307.0,66427310088.0,54017893996.0,61337652113.0,73242970647.0,79954091771.0,76591708010.0,84023644853.0,88046288141.0,90104930431.0,104691672672.0,109677949981.0,118891994730.0,120021174605.0,145912503406.0,151340418318.0
United States,US,USA,Imports of low carbon technology products as percent of GDP,Percent,Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. [https://comtrade.un.org](https://comtrade.un.org). Access Date: 15-03-2022; International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). [https://data.imf.org/dot](https://data.imf.org/dot). Access Date: 21-03-2022. World Economic Outlook (WEO) Database. [https://www.imf.org/en/Publications/WEO/weo-database/2021/October](https://www.imf.org/en/Publications/WEO/weo-database/2021/October). Access Date: 21-03-2022; IMF staff calculations.,ECBTLM,Trade in Low Carbon Technology Products; Imports,"Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Imports",Imports,Units,0.22413920988027,0.254793722281488,0.265908088330108,0.274483490670413,0.281573836480347,0.30794127093527,0.361686078860984,0.348918318510101,0.317477217071854,0.308707365021451,0.331523538960521,0.346418472222222,0.375334561061409,0.413765827638738,0.449749388707401,0.373101999205694,0.407586909493836,0.469514498794049,0.491905609227296,0.45473303366784,0.478748793724458,0.483610717556413,0.481970839583634,0.537504705065114,0.534152580560876,0.556065070682079,0.56988893686982,0.625829011512937,0.594360651964784
United States,US,USA,Imports of low carbon technology products as share of total imports,Percent,Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. [https://comtrade.un.org](https://comtrade.un.org). Access Date: 15-03-2022; International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). [https://data.imf.org/dot](https://data.imf.org/dot). Access Date: 21-03-2022. World Economic Outlook (WEO) Database. [https://www.imf.org/en/Publications/WEO/weo-database/2021/October](https://www.imf.org/en/Publications/WEO/weo-database/2021/October). Access Date: 21-03-2022; IMF staff calculations.,ECBTLM,Trade in Low Carbon Technology Products; Imports,"Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Imports",Imports,Units,,,,,2.70125229516337,2.82869275906238,2.99425099919386,3.12855269680812,2.88564333464625,2.70946091565117,2.65509990421327,2.6072375391387,2.70189000541788,2.96866514372395,3.06683831844397,3.36860974363145,3.11686005402934,3.31940902425205,3.51390717991487,3.37719572479584,3.57963889929728,3.92839965404297,4.11641692075433,4.46891285919554,4.31338876813456,4.75872155274215,5.13661944685292,5.15389639626482,4.66735619704033
United States,US,USA,Total trade in low carbon technology products,US Dollars,Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. [https://comtrade.un.org](https://comtrade.un.org). Access Date: 15-03-2022; International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). [https://data.imf.org/dot](https://data.imf.org/dot). Access Date: 21-03-2022. World Economic Outlook (WEO) Database. [https://www.imf.org/en/Publications/WEO/weo-database/2021/October](https://www.imf.org/en/Publications/WEO/weo-database/2021/October). Access Date: 21-03-2022; IMF staff calculations.,ECBTL,Trade in Low Carbon Technology Products,"Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products",Not Applicable,Units,40511711818.0,48699405223.0,53475713181.0,61607465189.0,60813728339.0,66922047846.0,83784040181.0,80228843408.0,73714862090.0,75162499323.0,86539883286.0,94544486549.0,110393153553.0,121501676076.0,133054896703.0,112360031319.0,128161939843.0,146504803466.0,157307025050.0,155125794037.0,166262376243.0,167551286623.0,165058892783.0,186630372414.0,195421004879.0,209295485146.0,203323868077.0,237286576220.0,244609860160.0
United States,US,USA,Total trade in low carbon technology products as percent of GDP,Percent,Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. [https://comtrade.un.org](https://comtrade.un.org). Access Date: 15-03-2022; International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). [https://data.imf.org/dot](https://data.imf.org/dot). Access Date: 21-03-2022. World Economic Outlook (WEO) Database. [https://www.imf.org/en/Publications/WEO/weo-database/2021/October](https://www.imf.org/en/Publications/WEO/weo-database/2021/October). Access Date: 21-03-2022; IMF staff calculations.,ECBTL,Trade in Low Carbon Technology Products,"Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products",Not Applicable,Units,0.555925922920169,0.637447628822933,0.662391740261671,0.718240816888272,0.671023972536157,0.694848217855038,0.817329517566664,0.758168701894977,0.674482455920433,0.656071464746933,0.708346105265743,0.725078889418062,0.799047117410753,0.839433311404736,0.900854759547321,0.776071579522104,0.851632352655247,0.939149911078561,0.967807979291188,0.920998170106972,0.947327531522292,0.920306802956714,0.882899223769865,0.958191809532611,0.951737647084034,0.978887678732704,0.965429836860086,1.01773885016454,0.960658610419741
United States,US,USA,Trade balance in low carbon technology products,US Dollars,Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. [https://comtrade.un.org](https://comtrade.un.org). Access Date: 15-03-2022; International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). [https://data.imf.org/dot](https://data.imf.org/dot). Access Date: 21-03-2022. World Economic Outlook (WEO) Database. [https://www.imf.org/en/Publications/WEO/weo-database/2021/October](https://www.imf.org/en/Publications/WEO/weo-database/2021/October). Access Date: 21-03-2022; IMF staff calculations.,ECBTLB,Trade in Low Carbon Technology Products; Trade Balance,"Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Trade Balance",Not Applicable,Units,7844542674.0,9768198427.0,10541528469.0,14519547881.0,9776640247.0,7605322444.0,9631521979.0,6384293856.0,4320057028.0,4428689483.0,5534261444.0,4204091689.0,6683710317.0,1722675462.0,200276527.0,4324243327.0,5486635617.0,18862172.0,-2601158492.0,1942378017.0,-1784913463.0,-8541289659.0,-15150968079.0,-22752972930.0,-23934895083.0,-28488504314.0,-36718481133.0,-54538430592.0,-58070976476.0
United States,US,USA,Trade balance in low carbon technology products as percent of GDP,Percent,Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. [https://comtrade.un.org](https://comtrade.un.org). Access Date: 15-03-2022; International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). [https://data.imf.org/dot](https://data.imf.org/dot). Access Date: 21-03-2022. World Economic Outlook (WEO) Database. [https://www.imf.org/en/Publications/WEO/weo-database/2021/October](https://www.imf.org/en/Publications/WEO/weo-database/2021/October). Access Date: 21-03-2022; IMF staff calculations.,ECBTLB,Trade in Low Carbon Technology Products; Trade Balance,"Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Trade Balance",Not Applicable,Units,0.107647503159628,0.127860184259956,0.130575563601455,0.169273835547447,0.107876299575464,0.0789656759844982,0.0939573598446973,0.0603320648747747,0.0395280217767245,0.0386567347040314,0.0452990273447012,0.032241944973618,0.0483779952879354,0.0119016561272605,0.00135598213251996,0.0298675811107159,0.0364585336675754,0.000120913490462172,-0.0160032391634034,0.0115321027712923,-0.0101700559266239,-0.0469146321561132,-0.0810424553974036,-0.116817600597617,-0.116567514037717,-0.133242462631455,-0.174348036879554,-0.233919172861335,-0.228062693509827
